row_i,rsrv_no,station_in,station_name_in,station_out,station_name_out,veh_type,veh_reg,veh_no,trip_duration,enrg_used,age_driver,id,gender,profes,time_rsrv,time_dep,time_pln_arr,time_in,time_out,lat_in,lng_in,lat_out,lng_out,commute,tempCelcius,rainfall-mm
63,USR-06997,STN-00248,アピタ安城南店,STN-00244,グランドティアラ,P-COM,安城市0み404,404,16.0,457.8715,37,041cb0928f3681,male_男性,office_worker_会社員,2016-04-03 17:00:00,2016-04-03 17:00:00,2016-04-03 18:00:00,2016-04-03 17:00:00,2016-04-03 18:00:00,34.920527,137.087673,34.96775869,137.0598645,commute,17.9,0.0
64,USR-06863,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み412,412,65.05,298.5161,48,044f5b92752f80,female_女性,office_worker_会社員,2016-03-17 17:00:00,2016-03-17 17:00:00,2016-03-17 19:00:00,2016-03-17 17:00:00,2016-03-17 18:00:00,34.95951,137.087292,34.95951,137.087292,errand,18.6,0.0
65,USR-06858,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み412,412,50.9333333333,466.1026,36,04a12582973b84,,,2016-03-16 17:00:00,2016-03-16 17:00:00,2016-03-16 20:00:00,2016-03-16 18:00:00,2016-03-16 18:00:00,34.95951,137.087292,34.95951,137.087292,errand,12.7,0.0
66,USR-06818,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み407,407,0.766666666667,1.1079,21,0428e9928f3680,male_男性,student_学生,2016-03-11 16:00:00,2016-03-11 16:00:00,2016-03-11 17:00:00,2016-03-11 16:00:00,2016-03-11 16:00:00,34.95951,137.087292,34.95951,137.087292,errand,11.5,0.0
67,USR-06804,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み424,424,82.1666666667,246.7828,55,0431be82973b80,,office_worker_会社員,2016-03-08 17:00:00,2016-03-08 17:00:00,2016-03-08 19:00:00,2016-03-08 17:00:00,2016-03-08 18:00:00,34.95951,137.087292,34.95951,137.087292,errand,17.6,0.0
68,USR-06803,STN-00198,安城市役所,STN-00201,碧海信用金庫南安城店,P-COM,安城市0み401,401,7.51666666667,90.339,67,0441c382973b80,,,2016-03-08 17:00:00,2016-03-08 17:00:00,2016-03-08 17:00:00,2016-03-08 17:00:00,2016-03-08 17:00:00,34.95856945,137.0797999,34.954064,137.091118,commute,17.6,0.0
69,USR-06789,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み430,430,1.03333333333,1.8675,42,04739a92752f80,male_男性,office_worker_会社員,2016-03-05 16:00:00,2016-03-05 16:00:00,2016-03-05 16:00:00,2016-03-05 16:00:00,2016-03-05 16:00:00,34.95951,137.087292,34.95951,137.087292,errand,17.4,0.0
70,USR-06790,STN-00191,エコセンター安城,STN-00254,安城コロナワールド,P-COM,安城市0み407,407,5.75,133.5552,43,042fc082973b80,male_男性,office_worker_会社員,2016-03-05 16:00:00,2016-03-06 09:00:00,2016-03-06 10:00:00,2016-03-06 09:00:00,2016-03-06 09:00:00,34.96174153,137.0845843,,,commute,17.4,0.0
71,USR-06792,STN-00238,サークルK安城堀内店,STN-00244,グランドティアラ,P-COM,安城市0み413,413,15.8333333333,335.5904,54,040ee982813481,male_男性,office_worker_会社員,2016-03-05 16:00:00,2016-03-05 16:00:00,2016-03-05 17:00:00,2016-03-05 17:00:00,2016-03-05 17:00:00,34.9320074,137.089064,34.96775869,137.0598645,commute,17.4,0.0
72,USR-06769,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み421,421,43.9833333333,528.8666,35,044bb8928f3680,male_男性,office_worker_会社員,2016-03-02 11:00:00,2016-03-02 11:00:00,2016-03-02 12:00:00,2016-03-02 11:00:00,2016-03-02 11:00:00,34.95951,137.087292,34.95951,137.087292,errand,7.9,0.0
73,USR-06745,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み430,430,25.15,270.5551,52,04f1fe928f3680,male_男性,office_worker_会社員,2016-02-27 14:00:00,2016-02-27 14:00:00,2016-02-27 15:00:00,2016-02-27 14:00:00,2016-02-27 15:00:00,34.95951,137.087292,34.95951,137.087292,errand,11.2,0.0
74,USR-06741,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み430,430,62.5166666667,884.8187,45,04932492752f80,male_男性,civil_servant_公務員,2016-02-27 11:00:00,2016-02-27 11:00:00,2016-02-27 12:00:00,2016-02-27 11:00:00,2016-02-27 12:00:00,34.95951,137.087292,34.95951,137.087292,errand,7.9,0.0
75,USR-06719,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み414,414,51.2166666667,349.2949,48,044f5b92752f80,female_女性,office_worker_会社員,2016-02-22 18:00:00,2016-02-22 18:00:00,2016-02-22 20:00:00,2016-02-22 18:00:00,2016-02-22 19:00:00,34.95951,137.087292,34.95951,137.087292,errand,9.5,0.0
76,USR-06717,STN-00244,グランドティアラ,STN-00191,エコセンター安城,P-COM,安城市0み416,416,52.25,353.4042,41,04039f928f3681,male_男性,office_worker_会社員,2016-02-22 18:00:00,2016-02-22 18:00:00,2016-02-22 18:00:00,2016-02-22 18:00:00,2016-02-22 19:00:00,34.96775869,137.0598645,34.96174153,137.0845843,commute,9.5,0.0
77,USR-06715,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み414,414,34.0333333333,633.4502,31,0485ab928f3680,male_男性,self_employed_自営業,2016-02-22 15:00:00,2016-02-22 15:00:00,2016-02-22 15:00:00,2016-02-22 15:00:00,2016-02-22 15:00:00,34.95951,137.087292,34.95951,137.087292,errand,10.0,0.0
78,USR-06669,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み423,423,25.9666666667,612.6715,37,043a9b928f3681,male_男性,office_worker_会社員,2016-02-13 19:00:00,2016-02-13 19:00:00,2016-02-13 20:00:00,2016-02-13 19:00:00,2016-02-13 19:00:00,34.95951,137.087292,34.95951,137.087292,errand,10.7,1.0
79,USR-06655,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み401,401,36.2666666667,246.7241,36,04a12582973b84,,,2016-02-11 08:00:00,2016-02-11 08:00:00,2016-02-11 09:00:00,2016-02-11 08:00:00,2016-02-11 09:00:00,34.95951,137.087292,34.95951,137.087292,errand,2.0,0.0
80,USR-06654,STN-00249,北部公民館,STN-00198,安城市役所,P-COM,安城市0み418,418,17.55,470.6298,50,04e1c582973b80,male_男性,office_worker_会社員,2016-02-11 08:00:00,2016-02-11 08:00:00,2016-02-11 11:00:00,2016-02-11 08:00:00,2016-02-11 08:00:00,34.992919,137.090618,34.95856945,137.0797999,commute,2.0,0.0
81,USR-06649,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み401,401,15.6166666667,93.4028,64,04297592752f80,female_女性,other,2016-02-10 16:00:00,2016-02-10 16:00:00,2016-02-10 17:00:00,2016-02-10 16:00:00,2016-02-10 17:00:00,34.95951,137.087292,34.95951,137.087292,errand,7.2,0.0
82,USR-06615,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み414,414,32.5333333333,313.4291,44,0401d4928f3681,female_女性,office_worker_会社員,2016-02-03 13:00:00,2016-02-03 14:00:00,2016-02-03 15:00:00,2016-02-03 14:00:00,2016-02-03 14:00:00,34.95951,137.087292,34.95951,137.087292,errand,8.2,0.0
83,USR-06565,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み407,407,79.0166666667,370.2008,48,044f5b92752f80,female_女性,office_worker_会社員,2016-01-25 18:00:00,2016-01-25 18:00:00,2016-01-25 20:00:00,2016-01-25 18:00:00,2016-01-25 19:00:00,34.95951,137.087292,34.95951,137.087292,errand,2.7,0.0
84,USR-06564,STN-00204,ＪＲ安城駅前第１駐車場,STN-00193,ドミー安城横山店,P-COM,安城市0み425,425,5.35,168.7564,36,0425bb82973b81,male_男性,office_worker_会社員,2016-01-25 18:00:00,2016-01-25 18:00:00,2016-01-25 18:00:00,2016-01-25 18:00:00,2016-01-25 18:00:00,34.95951,137.087292,34.95995552,137.0733101,commute,2.7,0.0
85,USR-06566,STN-00191,エコセンター安城,STN-00230,サークルK安城大東町南店,P-COM,安城市0み426,426,60.7833333333,177.1129,36,047c5f82973b80,male_男性,office_worker_会社員,2016-01-25 18:00:00,2016-01-25 18:00:00,2016-01-25 20:00:00,2016-01-25 18:00:00,2016-01-25 19:00:00,34.96174153,137.0845843,34.96279451,137.0842754,commute,2.7,0.0
86,USR-06562,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み407,407,112.35,2479.054,48,0435f0928f3680,male_男性,office_worker_会社員,2016-01-24 15:00:00,2016-01-24 15:00:00,2016-01-24 17:00:00,2016-01-24 15:00:00,2016-01-24 17:00:00,34.95951,137.087292,34.95951,137.087292,errand,2.1,0.0
